"transaction_id","product_id","recorded_on","quantity","price","price_full","order_type_id"
"X302021062367268","26191485","23.06.2021 16:41","1","256","270","BUY"
"X2720210612469927","26191478","12.06.2021 11:01","1","256","270","BUY"
"X2820210610618712","26191461","10.06.2021 13:15","1","256","270","BUY"
"X2820210610618712","26191515","10.06.2021 13:15","1","256","270","BUY"
"X2820210618616123","26191515","18.06.2021 9:57","1","256","270","BUY"
"X3020210606193110","26191492","06.06.2021 17:30","1","256","270","BUY"
"X3020210613194141","26191492","13.06.2021 10:53","1","256","270","BUY"
"X3020210629197078","26191485","29.06.2021 9:55","1","256","270","BUY"
"X3020210629197161","26191485","29.06.2021 18:02","1","256","270","BUY"
"X2720210606127924","26191560","06.06.2021 18:12","1","218","234","BUY"
"X302021060566112","26277820","05.06.2021 12:59","1","270","290","BUY"
"X302021061266732","26191485","12.06.2021 20:34","1","270","270","BUY"
"X2820210621622064","26191485","21.06.2021 15:03","1","270","270","BUY"
"X3020210608193330","26191485","08.06.2021 15:58","1","270","270","BUY"
"X3020210609193472","26191508","09.06.2021 13:14","1","270","270","BUY"
"X3020210612193890","26191485","12.06.2021 10:49","1","270","270","BUY"
"X3020210618195262","26191515","18.06.2021 18:37","1","270","270","BUY"
"X3820210615141947","26277844","15.06.2021 12:13","1","270","290","BUY"
"X3020210612193892","26191508","12.06.2021 10:52","1","251","270","BUY"
"X2820210626623594","67354660","26.06.2021 20:37","1","360","400","BUY"
"X2720210613129268","26191102","13.06.2021 14:41","1","540","600","BUY"
"X302021060766328","67354659","07.06.2021 12:01","1","284","290","BUY"
"X2720210613470463","26277813","13.06.2021 12:51","1","284","290","BUY"
"X3020210623196063","26277813","23.06.2021 15:14","1","284","290","BUY"
"X3020210625196421","26277813","25.06.2021 12:13","1","284","290","BUY"
"X3020210626196753","26277790","26.06.2021 18:29","1","284","290","BUY"
"X2720210612129044","26191478","12.06.2021 13:26","1","265","270","BUY"
"X3020210607193156","26191478","07.06.2021 14:47","1","265","270","BUY"
"X302021060666227","26191553","06.06.2021 10:14","1","260","260","BUY"
"X302021061166487","26191546","11.06.2021 9:57","1","260","260","BUY"
"X302021062067178","26191546","20.06.2021 10:12","1","260","260","BUY"
"X2720210608469198","26191546","08.06.2021 14:49","1","260","260","BUY"
"X2720210623473572","26191553","23.06.2021 19:47","2","260","260","BUY"
"X2820210613614677","26191553","13.06.2021 16:58","1","260","260","BUY"
"X2820210619621408","26191553","19.06.2021 12:59","1","260","260","BUY"
"X3020210605192898","26191553","05.06.2021 16:34","1","260","260","BUY"
"X3020210612193884","26191560","12.06.2021 10:41","1","260","260","BUY"
"X3020210619195326","26191560","19.06.2021 11:18","1","260","260","BUY"
"X3020210621195693","26191560","21.06.2021 15:23","1","260","260","BUY"
"X2720210603126783","26191218","03.06.2021 10:07","1","388","396","BUY"
"X2820210619621490","26277288","19.06.2021 15:13","1","369","380","BUY"
"X3020210611193819","26277318","11.06.2021 17:31","1","369","380","BUY"
"X302021060566095","26191522","05.06.2021 12:11","1","222","234","BUY"
"X3020210605192872","26191560","05.06.2021 15:21","1","222","234","BUY"
"X302021060465990","26277523","04.06.2021 10:43","1","350","350","BUY"
"X302021060566125","26277417","05.06.2021 13:27","1","350","350","BUY"
"X302021060766341","26277523","07.06.2021 12:34","1","350","350","BUY"
"X2720210606468865","26277417","06.06.2021 12:02","1","350","350","BUY"
"X2720210613470503","26277523","13.06.2021 13:38","1","350","350","BUY"
"X2720210615129690","26277523","15.06.2021 15:25","1","350","350","BUY"
"X2820210609613155","26277424","09.06.2021 15:26","1","350","350","BUY"
"X2820210628619304","26277431","28.06.2021 15:27","1","350","350","BUY"
"X3020210601192191","26277417","01.06.2021 11:20","1","350","350","BUY"
"X3020210612194090","26277516","12.06.2021 18:36","1","350","350","BUY"
"X3020210613194150","26277523","13.06.2021 11:16","1","350","350","BUY"
"X3020210613194339","26277516","13.06.2021 18:34","1","350","350","BUY"
"X3020210624196294","26277448","24.06.2021 16:13","1","350","350","BUY"
"X3020210615194620","26191218","15.06.2021 11:29","1","440","440","BUY"
"X3820210620142695","26191263","20.06.2021 11:00","1","440","440","BUY"
"X3820210622167322","26191188","22.06.2021 10:42","1","440","440","BUY"
